Episode,AgentID,FinalX,FinalY,TotalReward,FoodCollected,CollisionCount,EpisodeLength,RandomActions,GreedyActions
1,0,2,6,-91,11,3,200,49,151
1,1,5,3,-25,17,3,200,33,167
1,2,1,0,-158,6,6,200,37,163
2,0,2,1,-90,10,0,200,43,157
2,1,5,7,-50,14,1,200,40,160
2,2,1,5,-105,9,1,200,41,159
3,0,2,5,-147,7,6,200,39,161
3,1,5,3,-117,9,4,200,44,156
3,2,4,6,-95,11,4,200,45,155
4,0,9,5,-116,8,1,200,41,159
4,1,4,7,-46,14,0,200,34,166
4,2,9,4,-17,17,1,200,39,161
5,0,6,5,-2,18,0,200,39,161
5,1,6,8,-165,5,5,200,35,165
5,2,2,6,-165,5,5,200,37,163
6,0,6,4,-145,9,11,200,34,166
6,1,7,7,-136,8,6,200,32,168
6,2,3,9,-44,16,5,200,31,169
7,0,1,5,-62,14,4,200,40,160
7,1,3,3,-76,12,2,200,30,170
7,2,0,5,-136,8,6,200,35,165
8,0,7,5,-113,9,3,200,48,152
8,1,2,8,-32,16,2,200,39,161
8,2,4,9,-91,11,3,200,35,165
9,0,1,5,9,19,0,200,43,157
9,1,9,9,-92,12,6,200,35,165
9,2,0,2,-103,11,6,200,43,157
10,0,4,5,111,29,2,200,33,167
10,1,2,2,27,21,1,200,32,168
10,2,0,2,-6,18,1,200,41,159
11,0,7,7,-57,13,0,200,34,166
11,1,4,5,-28,16,1,200,41,159
11,2,7,1,-72,12,1,200,36,164
12,0,0,2,-21,17,2,200,34,166
12,1,3,9,-121,9,5,200,43,157
12,2,3,1,-121,9,5,200,37,163
13,0,1,0,-98,10,2,200,41,159
13,1,9,6,-98,10,2,200,44,156
13,2,8,2,42,22,0,200,46,154
14,0,9,2,-81,13,6,200,39,161
14,1,6,8,-14,18,3,200,50,150
14,2,4,5,-14,18,3,200,40,160
15,0,7,1,47,25,7,200,53,147
15,1,3,6,-103,11,6,200,32,168
15,2,1,8,-44,16,5,200,41,159
16,0,7,4,-73,13,4,200,37,163
16,1,6,8,-54,14,2,200,34,166
16,2,0,8,-43,15,2,200,34,166
