Episode,AgentID,FinalX,FinalY,TotalReward,FoodCollected,CollisionCount,EpisodeLength,RandomActions,GreedyActions
1,0,6,1,5,19,1,200,46,154
1,1,5,1,-83,11,1,200,48,152
1,2,5,4,-109,9,2,200,33,167
2,0,5,9,-87,11,2,200,40,160
2,1,4,0,-13,17,0,200,33,167
2,2,4,2,-109,9,2,200,39,161
3,0,6,4,-73,13,4,200,43,157
3,1,7,6,-65,13,2,200,45,155
3,2,5,5,-128,8,4,200,43,157
4,0,5,7,-25,17,3,200,43,157
4,1,6,7,-80,12,3,200,48,152
4,2,6,0,-24,16,0,200,38,162
5,0,5,9,140,32,3,200,42,158
5,1,3,1,-13,17,0,200,40,160
5,2,4,7,-36,16,3,200,36,164
6,0,0,9,-21,17,2,200,41,159
6,1,8,2,-6,18,1,200,34,166
6,2,8,6,27,21,1,200,46,154
7,0,7,6,32,24,8,200,46,154
7,1,8,7,39,25,9,200,37,163
7,2,8,7,-38,18,9,200,46,154
8,0,3,1,-98,10,2,200,31,169
8,1,7,1,48,24,4,200,41,159
8,2,4,3,48,24,4,200,40,160
9,0,0,6,188,36,2,200,36,164
9,1,9,6,-3,19,3,200,42,158
9,2,7,3,-25,17,3,200,48,152
10,0,7,0,-117,9,4,200,40,160
10,1,7,2,30,22,3,200,44,156
10,2,4,6,8,20,3,200,43,157
11,0,3,0,148,32,1,200,39,161
11,1,4,3,183,37,6,200,37,163
11,2,6,3,55,25,5,200,45,155
12,0,6,3,141,31,0,200,39,161
12,1,4,7,225,39,1,200,32,168
12,2,4,0,-39,15,1,200,51,149
13,0,1,8,25,23,7,200,43,157
13,1,3,3,-18,18,4,200,59,141
13,2,0,1,86,30,11,200,39,161
14,0,6,1,254,42,2,200,39,161
14,1,9,2,232,40,2,200,37,163
14,2,4,7,229,39,0,200,41,159
15,0,6,6,32,24,8,200,37,163
15,1,3,1,117,31,6,200,37,163
15,2,2,3,167,37,10,200,43,157
16,0,9,5,104,28,1,200,41,159
16,1,6,4,115,29,1,200,36,164
16,2,0,6,229,39,0,200,35,165
17,0,8,5,210,38,2,200,38,162
17,1,4,5,221,39,2,200,40,160
17,2,7,1,-35,15,0,200,42,158
18,0,4,8,93,27,1,200,32,168
18,1,8,3,17,23,9,200,40,160
18,2,4,7,109,31,8,200,44,156
19,0,7,7,165,35,5,200,32,168
19,1,3,2,63,25,3,200,35,165
19,2,8,6,199,37,2,200,46,154
20,0,2,9,30,22,3,200,40,160
20,1,6,4,13,23,10,200,53,147
20,2,5,4,-38,18,9,200,30,170
21,0,3,7,31,21,0,200,39,161
21,1,0,4,185,35,0,200,24,176
21,2,1,3,218,38,0,200,36,164
22,0,1,8,22,22,5,200,42,158
22,1,2,4,16,20,1,200,32,168
22,2,2,8,7,21,6,200,48,152
23,0,5,6,89,27,2,200,49,151
23,1,3,3,143,33,5,200,34,166
23,2,3,2,41,23,3,200,43,157
24,0,5,6,137,31,1,200,43,157
24,1,1,6,65,27,8,200,37,163
24,2,4,3,94,30,9,200,51,149
25,0,4,5,117,31,6,200,37,163
25,1,7,1,2,22,10,200,32,168
25,2,5,8,39,25,9,200,29,171
26,0,0,3,123,33,10,200,41,159
26,1,0,0,103,29,4,200,32,168
26,2,7,3,39,25,9,200,37,163
27,0,1,2,151,33,3,200,47,153
