Episode,TotalReward,FoodCollected,EpisodeLength,RandomActions,GreedyActions
1,-90,10,200,49,151
2,-79,11,200,36,164
3,-112,8,200,29,171
4,-134,6,200,41,159
5,-90,10,200,50,150
6,-35,15,200,47,153
7,-101,9,200,51,149
8,-68,12,200,40,160
9,-57,13,200,44,156
10,-35,15,200,49,151
11,-79,11,200,41,159
12,9,19,200,35,165
13,86,26,200,38,162
14,-35,15,200,43,157
15,-112,8,200,48,152
16,-68,12,200,43,157
17,64,24,200,45,155
18,-90,10,200,47,153
19,-13,17,200,48,152
20,75,25,200,38,162
21,-79,11,200,40,160
22,-35,15,200,46,154
23,64,24,200,35,165
24,20,20,200,44,156
25,108,28,200,40,160
26,20,20,200,38,162
27,-46,14,200,37,163
28,20,20,200,49,151
29,9,19,200,39,161
30,163,33,200,38,162
31,-13,17,200,38,162
32,-13,17,200,43,157
33,42,22,200,39,161
34,64,24,200,46,154
35,97,27,200,39,161
36,185,35,200,32,168
37,-79,11,200,40,160
38,-90,10,200,37,163
39,75,25,200,42,158
40,86,26,200,40,160
41,86,26,200,41,159
42,20,20,200,43,157
43,97,27,200,40,160
44,64,24,200,38,162
45,163,33,200,26,174
46,119,29,200,44,156
47,75,25,200,30,170
48,108,28,200,47,153
49,-68,12,200,33,167
50,-13,17,200,49,151
51,42,22,200,39,161
52,20,20,200,39,161
53,20,20,200,39,161
54,163,33,200,46,154
55,174,34,200,36,164
56,31,21,200,38,162
57,141,31,200,41,159
58,174,34,200,42,158
59,86,26,200,40,160
60,152,32,200,47,153
61,196,36,200,47,153
62,130,30,200,50,150
63,31,21,200,38,162
64,130,30,200,48,152
65,64,24,200,33,167
66,152,32,200,43,157
67,86,26,200,37,163
68,152,32,200,44,156
69,174,34,200,46,154
70,31,21,200,41,159
71,97,27,200,34,166
72,295,45,200,39,161
73,141,31,200,46,154
74,20,20,200,45,155
75,163,33,200,43,157
76,130,30,200,33,167
77,229,39,200,33,167
78,64,24,200,34,166
79,64,24,200,44,156
80,-178,2,200,38,162
81,-2,18,200,43,157
82,20,20,200,46,154
83,75,25,200,54,146
84,31,21,200,35,165
85,20,20,200,42,158
86,97,27,200,44,156
87,-24,16,200,45,155
88,350,50,200,34,166
89,-13,17,200,42,158
90,251,41,200,49,151
91,207,37,200,34,166
92,75,25,200,44,156
93,273,43,200,45,155
94,196,36,200,32,168
95,262,42,200,40,160
96,251,41,200,46,154
97,251,41,200,44,156
98,-13,17,200,42,158
99,-35,15,200,40,160
100,163,33,200,43,157
101,273,43,200,42,158
102,86,26,200,40,160
103,196,36,200,35,165
104,196,36,200,48,152
105,42,22,200,33,167
106,251,41,200,46,154
107,31,21,200,35,165
108,207,37,200,35,165
109,405,55,200,31,169
110,86,26,200,37,163
111,108,28,200,39,161
112,163,33,200,34,166
113,-68,12,200,32,168
114,108,28,200,38,162
115,394,54,200,38,162
116,86,26,200,45,155
117,295,45,200,40,160
118,174,34,200,41,159
119,108,28,200,36,164
120,97,27,200,35,165
121,262,42,200,44,156
122,-13,17,200,40,160
123,75,25,200,46,154
124,218,38,200,34,166
125,306,46,200,32,168
126,339,49,200,38,162
127,108,28,200,39,161
128,218,38,200,42,158
129,75,25,200,36,164
130,42,22,200,38,162
131,141,31,200,32,168
132,141,31,200,37,163
133,9,19,200,31,169
134,163,33,200,37,163
135,64,24,200,50,150
136,75,25,200,32,168
137,-24,16,200,44,156
138,119,29,200,42,158
139,-123,7,200,44,156
140,97,27,200,38,162
141,196,36,200,46,154
142,75,25,200,44,156
143,97,27,200,36,164
144,262,42,200,40,160
145,174,34,200,26,174
146,163,33,200,39,161
147,339,49,200,43,157
148,240,40,200,37,163
149,350,50,200,45,155
150,383,53,200,42,158
151,108,28,200,39,161
152,-2,18,200,43,157
153,163,33,200,47,153
154,229,39,200,40,160
155,108,28,200,41,159
156,75,25,200,45,155
157,141,31,200,36,164
158,174,34,200,41,159
159,119,29,200,49,151
160,75,25,200,43,157
161,306,46,200,37,163
162,-13,17,200,42,158
163,262,42,200,39,161
164,119,29,200,44,156
165,207,37,200,48,152
166,427,57,200,37,163
167,295,45,200,34,166
168,108,28,200,36,164
169,75,25,200,47,153
170,273,43,200,40,160
171,53,23,200,35,165
172,152,32,200,36,164
173,251,41,200,37,163
174,240,40,200,41,159
175,306,46,200,32,168
176,163,33,200,37,163
177,174,34,200,42,158
178,-123,7,200,37,163
179,251,41,200,43,157
180,416,56,200,44,156
181,75,25,200,40,160
182,-79,11,200,39,161
183,185,35,200,48,152
184,-46,14,200,33,167
185,64,24,200,44,156
186,119,29,200,33,167
187,75,25,200,30,170
188,-57,13,200,40,160
189,119,29,200,36,164
190,75,25,200,54,146
191,207,37,200,38,162
192,229,39,200,35,165
193,86,26,200,43,157
194,141,31,200,41,159
195,86,26,200,51,149
196,97,27,200,41,159
197,53,23,200,35,165
198,240,40,200,45,155
199,-112,8,200,45,155
200,141,31,200,54,146
